row,k,dst_lane,dst_reg,dst_byte,src_lane,src_reg,src_byte
19,16,19,4,0,-1,-1,-1
19,17,19,4,1,-1,-1,-1
19,18,19,4,2,-1,-1,-1
19,19,19,4,3,-1,-1,-1
19,20,19,5,0,-1,-1,-1
19,21,19,5,1,-1,-1,-1
19,22,19,5,2,-1,-1,-1
19,23,19,5,3,-1,-1,-1
19,24,19,6,0,-1,-1,-1
19,25,19,6,1,-1,-1,-1
19,26,19,6,2,-1,-1,-1
19,27,19,6,3,-1,-1,-1
19,28,19,7,0,-1,-1,-1
19,29,19,7,1,-1,-1,-1
19,30,19,7,2,-1,-1,-1
19,31,19,7,3,-1,-1,-1
20,0,20,0,0,-1,-1,-1
20,1,20,0,1,-1,-1,-1
20,2,20,0,2,-1,-1,-1
20,3,20,0,3,-1,-1,-1
20,4,20,1,0,-1,-1,-1
20,5,20,1,1,-1,-1,-1
20,6,20,1,2,-1,-1,-1
20,7,20,1,3,-1,-1,-1
20,8,20,2,0,-1,-1,-1
20,9,20,2,1,-1,-1,-1
20,10,20,2,2,-1,-1,-1
20,11,20,2,3,-1,-1,-1
20,12,20,3,0,-1,-1,-1
20,13,20,3,1,-1,-1,-1
20,14,20,3,2,-1,-1,-1
20,15,20,3,3,-1,-1,-1
20,16,20,4,0,59,4,0
20,17,20,4,1,-1,-1,-1
20,18,20,4,2,-1,-1,-1
20,19,20,4,3,-1,-1,-1
20,20,20,5,0,-1,-1,-1
20,21,20,5,1,-1,-1,-1
20,22,20,5,2,-1,-1,-1
20,23,20,5,3,-1,-1,-1
20,24,20,6,0,-1,-1,-1
20,25,20,6,1,-1,-1,-1
20,26,20,6,2,-1,-1,-1
20,27,20,6,3,-1,-1,-1
20,28,20,7,0,-1,-1,-1
20,29,20,7,1,-1,-1,-1
20,30,20,7,2,-1,-1,-1
20,31,20,7,3,-1,-1,-1
21,0,21,0,0,-1,-1,-1
21,1,21,0,1,-1,-1,-1
21,2,21,0,2,-1,-1,-1
21,3,21,0,3,-1,-1,-1
21,4,21,1,0,-1,-1,-1
21,5,21,1,1,-1,-1,-1
21,6,21,1,2,-1,-1,-1
21,7,21,1,3,-1,-1,-1
21,8,21,2,0,-1,-1,-1
21,9,21,2,1,-1,-1,-1
21,10,21,2,2,-1,-1,-1
21,11,21,2,3,-1,-1,-1
21,12,21,3,0,-1,-1,-1
21,13,21,3,1,-1,-1,-1
21,14,21,3,2,-1,-1,-1
21,15,21,3,3,-1,-1,-1
21,16,21,4,0,-1,-1,-1
21,17,21,4,1,59,4,1
21,18,21,4,2,-1,-1,-1
21,19,21,4,3,-1,-1,-1
21,20,21,5,0,-1,-1,-1
21,21,21,5,1,-1,-1,-1
21,22,21,5,2,-1,-1,-1
21,23,21,5,3,-1,-1,-1
21,24,21,6,0,-1,-1,-1
21,25,21,6,1,-1,-1,-1
21,26,21,6,2,-1,-1,-1
21,27,21,6,3,-1,-1,-1
21,28,21,7,0,-1,-1,-1
21,29,21,7,1,-1,-1,-1
21,30,21,7,2,-1,-1,-1
21,31,21,7,3,-1,-1,-1
22,0,22,0,0,-1,-1,-1
22,1,22,0,1,-1,-1,-1
22,2,22,0,2,-1,-1,-1
22,3,22,0,3,-1,-1,-1
22,4,22,1,0,-1,-1,-1
22,5,22,1,1,-1,-1,-1
22,6,22,1,2,-1,-1,-1
22,7,22,1,3,-1,-1,-1
22,8,22,2,0,-1,-1,-1
22,9,22,2,1,-1,-1,-1
22,10,22,2,2,-1,-1,-1
22,11,22,2,3,-1,-1,-1
22,12,22,3,0,-1,-1,-1
22,13,22,3,1,-1,-1,-1
22,14,22,3,2,-1,-1,-1
22,15,22,3,3,-1,-1,-1
22,16,22,4,0,-1,-1,-1
22,17,22,4,1,-1,-1,-1
22,18,22,4,2,59,4,2
22,19,22,4,3,-1,-1,-1
22,20,22,5,0,-1,-1,-1
22,21,22,5,1,-1,-1,-1
22,22,22,5,2,-1,-1,-1
22,23,22,5,3,-1,-1,-1
22,24,22,6,0,-1,-1,-1
22,25,22,6,1,-1,-1,-1
22,26,22,6,2,-1,-1,-1
22,27,22,6,3,-1,-1,-1
22,28,22,7,0,-1,-1,-1
22,29,22,7,1,-1,-1,-1
22,30,22,7,2,-1,-1,-1
22,31,22,7,3,-1,-1,-1
23,0,23,0,0,-1,-1,-1
23,1,23,0,1,-1,-1,-1
23,2,23,0,2,-1,-1,-1
23,3,23,0,3,-1,-1,-1
23,4,23,1,0,-1,-1,-1
23,5,23,1,1,-1,-1,-1
23,6,23,1,2,-1,-1,-1
23,7,23,1,3,-1,-1,-1
23,8,23,2,0,-1,-1,-1
23,9,23,2,1,-1,-1,-1
23,10,23,2,2,-1,-1,-1
23,11,23,2,3,-1,-1,-1
23,12,23,3,0,-1,-1,-1
